Year,Date,Day,DayOfYear,Hour,DayHour,APSCEP,ANSCEP,APTCEP,ANTCEP
2022,2022-01-01 00:15:00,2022/01/01,01/01,0,2022/01/01 00,143.96,95.98,0.0,0.0
2022,2022-01-01 00:30:00,2022/01/01,01/01,0,2022/01/01 00,143.96,95.98,0.0,0.0
2022,2022-01-01 00:45:00,2022/01/01,01/01,0,2022/01/01 00,143.96,95.98,0.0,0.0
2022,2022-01-01 01:00:00,2022/01/01,01/01,1,2022/01/01 01,143.96,95.98,0.0,0.0
2022,2022-01-01 01:15:00,2022/01/01,01/01,1,2022/01/01 01,143.95,81.23,0.0,0.0
2022,2022-01-01 01:30:00,2022/01/01,01/01,1,2022/01/01 01,143.95,81.23,0.0,0.0
2022,2022-01-01 01:45:00,2022/01/01,01/01,1,2022/01/01 01,143.95,81.23,0.0,0.0
2022,2022-01-01 02:00:00,2022/01/01,01/01,2,2022/01/01 02,143.95,81.23,0.0,0.0
2022,2022-01-01 02:15:00,2022/01/01,01/01,2,2022/01/01 02,143.95,41.7,0.0,0.0
2022,2022-01-01 02:30:00,2022/01/01,01/01,2,2022/01/01 02,143.95,41.7,0.0,0.0
2022,2022-01-01 02:45:00,2022/01/01,01/01,2,2022/01/01 02,143.95,41.7,0.0,0.0
2022,2022-01-01 03:00:00,2022/01/01,01/01,3,2022/01/01 03,143.95,41.7,0.0,0.0
2022,2022-01-01 03:15:00,2022/01/01,01/01,3,2022/01/01 03,143.95,16.62,0.0,0.0
2022,2022-01-01 03:30:00,2022/01/01,01/01,3,2022/01/01 03,143.95,16.62,0.0,0.0
2022,2022-01-01 03:45:00,2022/01/01,01/01,3,2022/01/01 03,143.95,16.62,0.0,0.0
2022,2022-01-01 04:00:00,2022/01/01,01/01,4,2022/01/01 04,143.95,16.62,190.452174,0.0
2022,2022-01-01 04:15:00,2022/01/01,01/01,4,2022/01/01 04,143.95,12.53,190.452174,0.0
2022,2022-01-01 04:30:00,2022/01/01,01/01,4,2022/01/01 04,143.95,12.53,190.452174,0.0
2022,2022-01-01 04:45:00,2022/01/01,01/01,4,2022/01/01 04,143.95,12.53,190.452174,0.0
2022,2022-01-01 05:00:00,2022/01/01,01/01,5,2022/01/01 05,143.95,12.53,190.452174,0.0
2022,2022-01-01 05:15:00,2022/01/01,01/01,5,2022/01/01 05,143.95,17.18,190.452174,0.0
2022,2022-01-01 05:30:00,2022/01/01,01/01,5,2022/01/01 05,143.95,17.18,190.452174,0.0
2022,2022-01-01 05:45:00,2022/01/01,01/01,5,2022/01/01 05,143.95,17.18,190.452174,0.0
2022,2022-01-01 06:00:00,2022/01/01,01/01,6,2022/01/01 06,143.95,17.18,190.452174,0.0
2022,2022-01-01 06:15:00,2022/01/01,01/01,6,2022/01/01 06,143.95,23.91,191.521739,0.0
2022,2022-01-01 06:30:00,2022/01/01,01/01,6,2022/01/01 06,143.95,23.91,191.521739,0.0
2022,2022-01-01 06:45:00,2022/01/01,01/01,6,2022/01/01 06,143.95,23.91,191.521739,0.0
2022,2022-01-01 07:00:00,2022/01/01,01/01,7,2022/01/01 07,143.95,23.91,191.521739,0.0
