Year,Date,Day,DayOfYear,Hour,DayHour,APSCEP,ANSCEP,APTCEP,ANTCEP
2019,2019-01-01 00:15:00,2019/01/01,01/01,0,2019/01/01 00,60.31,40.21,0.0,0.0
2019,2019-01-01 00:30:00,2019/01/01,01/01,0,2019/01/01 00,60.31,40.21,0.0,0.0
2019,2019-01-01 00:45:00,2019/01/01,01/01,0,2019/01/01 00,60.31,40.21,0.0,0.0
2019,2019-01-01 01:00:00,2019/01/01,01/01,1,2019/01/01 01,60.31,40.21,0.0,0.0
2019,2019-01-01 01:15:00,2019/01/01,01/01,1,2019/01/01 01,58.49,38.99,0.0,0.0
2019,2019-01-01 01:30:00,2019/01/01,01/01,1,2019/01/01 01,58.49,38.99,0.0,0.0
2019,2019-01-01 01:45:00,2019/01/01,01/01,1,2019/01/01 01,58.49,38.99,0.0,0.0
2019,2019-01-01 02:00:00,2019/01/01,01/01,2,2019/01/01 02,58.49,38.99,0.0,0.0
2019,2019-01-01 02:15:00,2019/01/01,01/01,2,2019/01/01 02,57.07,37.79,0.0,0.0
2019,2019-01-01 02:30:00,2019/01/01,01/01,2,2019/01/01 02,57.07,37.79,0.0,0.0
2019,2019-01-01 02:45:00,2019/01/01,01/01,2,2019/01/01 02,57.07,37.79,0.0,0.0
2019,2019-01-01 03:00:00,2019/01/01,01/01,3,2019/01/01 03,57.07,37.79,0.0,0.0
2019,2019-01-01 03:15:00,2019/01/01,01/01,3,2019/01/01 03,57.07,29.03,0.0,0.0
2019,2019-01-01 03:30:00,2019/01/01,01/01,3,2019/01/01 03,57.07,29.03,0.0,0.0
2019,2019-01-01 03:45:00,2019/01/01,01/01,3,2019/01/01 03,57.07,29.03,0.0,0.0
2019,2019-01-01 04:00:00,2019/01/01,01/01,4,2019/01/01 04,57.07,29.03,0.0,0.0
2019,2019-01-01 04:15:00,2019/01/01,01/01,4,2019/01/01 04,57.07,24.07,0.0,0.0
2019,2019-01-01 04:30:00,2019/01/01,01/01,4,2019/01/01 04,57.07,24.07,0.0,0.0
2019,2019-01-01 04:45:00,2019/01/01,01/01,4,2019/01/01 04,57.07,24.07,0.0,0.0
2019,2019-01-01 05:00:00,2019/01/01,01/01,5,2019/01/01 05,57.07,24.07,0.0,0.0
2019,2019-01-01 05:15:00,2019/01/01,01/01,5,2019/01/01 05,57.07,21.85,0.0,0.0
2019,2019-01-01 05:30:00,2019/01/01,01/01,5,2019/01/01 05,57.07,21.85,0.0,0.0
2019,2019-01-01 05:45:00,2019/01/01,01/01,5,2019/01/01 05,57.07,21.85,0.0,-47.0
2019,2019-01-01 06:00:00,2019/01/01,01/01,6,2019/01/01 06,57.07,21.85,0.0,-47.0
2019,2019-01-01 06:15:00,2019/01/01,01/01,6,2019/01/01 06,57.07,22.82,0.0,-47.0
2019,2019-01-01 06:30:00,2019/01/01,01/01,6,2019/01/01 06,57.07,22.82,0.0,-47.0
2019,2019-01-01 06:45:00,2019/01/01,01/01,6,2019/01/01 06,57.07,22.82,0.0,-47.0
2019,2019-01-01 07:00:00,2019/01/01,01/01,7,2019/01/01 07,57.07,22.82,0.0,-47.0
2019,2019-01-01 07:15:00,2019/01/01,01/01,7,2019/01/01 07,57.07,21.47,0.0,-47.0
2019,2019-01-01 07:30:00,2019/01/01,01/01,7,2019/01/01 07,57.07,21.47,0.0,-47.0
2019,2019-01-01 07:45:00,2019/01/01,01/01,7,2019/01/01 07,57.07,21.47,0.0,-47.0
2019,2019-01-01 08:00:00,2019/01/01,01/01,8,2019/01/01 08,57.07,21.47,0.0,-47.0
2019,2019-01-01 08:15:00,2019/01/01,01/01,8,2019/01/01 08,57.07,22.96,0.0,0.0
2019,2019-01-01 08:30:00,2019/01/01,01/01,8,2019/01/01 08,57.07,22.96,0.0,0.0
2019,2019-01-01 08:45:00,2019/01/01,01/01,8,2019/01/01 08,57.07,22.96,0.0,0.0
2019,2019-01-01 09:00:00,2019/01/01,01/01,9,2019/01/01 09,57.07,22.96,0.0,0.0
2019,2019-01-01 09:15:00,2019/01/01,01/01,9,2019/01/01 09,57.07,28.56,0.0,-104.096
2019,2019-01-01 09:30:00,2019/01/01,01/01,9,2019/01/01 09,57.07,28.56,0.0,-104.096
2019,2019-01-01 09:45:00,2019/01/01,01/01,9,2019/01/01 09,57.07,28.56,0.0,-104.096
2019,2019-01-01 10:00:00,2019/01/01,01/01,0,2019/01/01 10,57.07,28.56,0.0,-104.096
2019,2019-01-01 10:15:00,2019/01/01,01/01,0,2019/01/01 10,57.07,30.02,0.0,-104.096
2019,2019-01-01 10:30:00,2019/01/01,01/01,0,2019/01/01 10,57.07,30.02,0.0,-104.096
2019,2019-01-01 10:45:00,2019/01/01,01/01,0,2019/01/01 10,57.07,30.02,0.0,-104.096
2019,2019-01-01 11:00:00,2019/01/01,01/01,1,2019/01/01 11,57.07,30.02,0.0,-104.096
2019,2019-01-01 11:15:00,2019/01/01,01/01,1,2019/01/01 11,57.07,30.69,0.0,-104.096
2019,2019-01-01 11:30:00,2019/01/01,01/01,1,2019/01/01 11,57.07,30.69,0.0,-104.096
2019,2019-01-01 11:45:00,2019/01/01,01/01,1,2019/01/01 11,57.07,30.69,0.0,-104.096
2019,2019-01-01 12:00:00,2019/01/01,01/01,2,2019/01/01 12,57.07,30.69,0.0,-104.096
2019,2019-01-01 12:15:00,2019/01/01,01/01,2,2019/01/01 12,57.07,35.16,0.0,-38.19
2019,2019-01-01 12:30:00,2019/01/01,01/01,2,2019/01/01 12,57.07,35.16,0.0,-38.19
2019,2019-01-01 12:45:00,2019/01/01,01/01,2,2019/01/01 12,57.07,35.16,0.0,-38.19
2019,2019-01-01 13:00:00,2019/01/01,01/01,3,2019/01/01 13,57.07,35.16,0.0,-38.19
2019,2019-01-01 13:15:00,2019/01/01,01/01,3,2019/01/01 13,57.07,34.46,0.0,-38.19
2019,2019-01-01 13:30:00,2019/01/01,01/01,3,2019/01/01 13,57.07,34.46,0.0,-38.19
2019,2019-01-01 13:45:00,2019/01/01,01/01,3,2019/01/01 13,57.07,34.46,0.0,-38.19
2019,2019-01-01 14:00:00,2019/01/01,01/01,4,2019/01/01 14,57.07,34.46,0.0,-38.19
2019,2019-01-01 14:15:00,2019/01/01,01/01,4,2019/01/01 14,57.07,31.06,0.0,0.0
2019,2019-01-01 14:30:00,2019/01/01,01/01,4,2019/01/01 14,57.07,31.06,0.0,0.0
2019,2019-01-01 14:45:00,2019/01/01,01/01,4,2019/01/01 14,57.07,31.06,0.0,0.0
2019,2019-01-01 15:00:00,2019/01/01,01/01,5,2019/01/01 15,57.07,31.06,0.0,0.0
2019,2019-01-01 15:15:00,2019/01/01,01/01,5,2019/01/01 15,57.62,38.42,0.0,0.0
2019,2019-01-01 15:30:00,2019/01/01,01/01,5,2019/01/01 15,57.62,38.42,0.0,0.0
2019,2019-01-01 15:45:00,2019/01/01,01/01,5,2019/01/01 15,57.62,38.42,0.0,0.0
2019,2019-01-01 16:00:00,2019/01/01,01/01,6,2019/01/01 16,57.62,38.42,0.0,0.0
2019,2019-01-01 16:15:00,2019/01/01,01/01,6,2019/01/01 16,58.72,39.14,0.0,0.0
2019,2019-01-01 16:30:00,2019/01/01,01/01,6,2019/01/01 16,58.72,39.14,0.0,0.0
2019,2019-01-01 16:45:00,2019/01/01,01/01,6,2019/01/01 16,58.72,39.14,0.0,0.0
2019,2019-01-01 17:00:00,2019/01/01,01/01,7,2019/01/01 17,58.72,39.14,0.0,0.0
2019,2019-01-01 17:15:00,2019/01/01,01/01,7,2019/01/01 17,61.19,40.79,0.0,0.0
2019,2019-01-01 17:30:00,2019/01/01,01/01,7,2019/01/01 17,61.19,40.79,0.0,0.0
2019,2019-01-01 17:45:00,2019/01/01,01/01,7,2019/01/01 17,61.19,40.79,0.0,0.0
2019,2019-01-01 18:00:00,2019/01/01,01/01,8,2019/01/01 18,61.19,40.79,0.0,0.0
2019,2019-01-01 18:15:00,2019/01/01,01/01,8,2019/01/01 18,63.35,42.23,0.0,0.0
2019,2019-01-01 18:30:00,2019/01/01,01/01,8,2019/01/01 18,63.35,42.23,0.0,0.0
2019,2019-01-01 18:45:00,2019/01/01,01/01,8,2019/01/01 18,63.35,42.23,0.0,0.0
2019,2019-01-01 19:00:00,2019/01/01,01/01,9,2019/01/01 19,63.35,42.23,0.0,0.0
2019,2019-01-01 19:15:00,2019/01/01,01/01,9,2019/01/01 19,66.2,44.14,0.0,0.0
2019,2019-01-01 19:30:00,2019/01/01,01/01,9,2019/01/01 19,66.2,44.14,0.0,0.0
2019,2019-01-01 19:45:00,2019/01/01,01/01,9,2019/01/01 19,66.2,44.14,0.0,0.0
2019,2019-01-01 20:00:00,2019/01/01,01/01,0,2019/01/01 20,66.2,44.14,0.0,0.0
2019,2019-01-01 20:15:00,2019/01/01,01/01,0,2019/01/01 20,66.06,44.04,0.0,0.0
2019,2019-01-01 20:30:00,2019/01/01,01/01,0,2019/01/01 20,66.06,44.04,0.0,0.0
2019,2019-01-01 20:45:00,2019/01/01,01/01,0,2019/01/01 20,66.06,44.04,0.0,0.0
2019,2019-01-01 21:00:00,2019/01/01,01/01,1,2019/01/01 21,66.06,44.04,0.0,0.0
2019,2019-01-01 21:15:00,2019/01/01,01/01,1,2019/01/01 21,60.84,40.56,0.0,20.0
2019,2019-01-01 21:30:00,2019/01/01,01/01,1,2019/01/01 21,60.84,40.56,0.0,20.0
2019,2019-01-01 21:45:00,2019/01/01,01/01,1,2019/01/01 21,60.84,40.56,0.0,14.2
2019,2019-01-01 22:00:00,2019/01/01,01/01,2,2019/01/01 22,60.84,40.56,0.0,14.2
2019,2019-01-01 22:15:00,2019/01/01,01/01,2,2019/01/01 22,66.14,44.1,0.0,14.2
2019,2019-01-01 22:30:00,2019/01/01,01/01,2,2019/01/01 22,66.14,44.1,0.0,14.2
2019,2019-01-01 22:45:00,2019/01/01,01/01,2,2019/01/01 22,66.14,44.1,0.0,14.2
2019,2019-01-01 23:00:00,2019/01/01,01/01,3,2019/01/01 23,66.14,44.1,0.0,14.2
2019,2019-01-01 23:15:00,2019/01/01,01/01,3,2019/01/01 23,66.13,44.09,0.0,14.2
2019,2019-01-01 23:30:00,2019/01/01,01/01,3,2019/01/01 23,66.13,44.09,0.0,14.2
2019,2019-01-01 23:45:00,2019/01/01,01/01,3,2019/01/01 23,66.13,44.09,0.0,14.2
2019,2019-01-02 00:00:00,2019/01/02,01/02,0,2019/01/02 00,66.13,44.09,0.0,14.2
2019,2019-01-02 00:15:00,2019/01/02,01/02,0,2019/01/02 00,59.96,39.98,0.0,-0.4
2019,2019-01-02 00:30:00,2019/01/02,01/02,0,2019/01/02 00,59.96,39.98,0.0,-0.4
2019,2019-01-02 00:45:00,2019/01/02,01/02,0,2019/01/02 00,59.96,39.98,0.0,-26.561
2019,2019-01-02 01:00:00,2019/01/02,01/02,1,2019/01/02 01,59.96,39.98,0.0,-28.452
2019,2019-01-02 01:15:00,2019/01/02,01/02,1,2019/01/02 01,58.39,38.93,0.0,-28.452
2019,2019-01-02 01:30:00,2019/01/02,01/02,1,2019/01/02 01,58.39,38.93,0.0,-28.452
2019,2019-01-02 01:45:00,2019/01/02,01/02,1,2019/01/02 01,58.39,38.93,0.0,-71.75
2019,2019-01-02 02:00:00,2019/01/02,01/02,2,2019/01/02 02,58.39,38.93,0.0,-71.75
2019,2019-01-02 02:15:00,2019/01/02,01/02,2,2019/01/02 02,57.07,33.25,0.0,-71.75
2019,2019-01-02 02:30:00,2019/01/02,01/02,2,2019/01/02 02,57.07,33.25,0.0,-71.75
2019,2019-01-02 02:45:00,2019/01/02,01/02,2,2019/01/02 02,57.07,33.25,0.0,-71.75
2019,2019-01-02 03:00:00,2019/01/02,01/02,3,2019/01/02 03,57.07,33.25,0.0,-71.75
2019,2019-01-02 03:15:00,2019/01/02,01/02,3,2019/01/02 03,57.07,34.46,0.0,-71.75
2019,2019-01-02 03:30:00,2019/01/02,01/02,3,2019/01/02 03,57.07,34.46,0.0,-71.75
2019,2019-01-02 03:45:00,2019/01/02,01/02,3,2019/01/02 03,57.07,34.46,0.0,-71.75
2019,2019-01-02 04:00:00,2019/01/02,01/02,4,2019/01/02 04,57.07,34.46,0.0,-71.75
2019,2019-01-02 04:15:00,2019/01/02,01/02,4,2019/01/02 04,57.07,30.88,0.0,-71.864
2019,2019-01-02 04:30:00,2019/01/02,01/02,4,2019/01/02 04,57.07,30.88,0.0,-71.864
2019,2019-01-02 04:45:00,2019/01/02,01/02,4,2019/01/02 04,57.07,30.88,0.0,-71.864
2019,2019-01-02 05:00:00,2019/01/02,01/02,5,2019/01/02 05,57.07,30.88,0.0,-71.864
2019,2019-01-02 05:15:00,2019/01/02,01/02,5,2019/01/02 05,59.05,39.37,0.0,-71.864
2019,2019-01-02 05:30:00,2019/01/02,01/02,5,2019/01/02 05,59.05,39.37,0.0,-71.864
2019,2019-01-02 05:45:00,2019/01/02,01/02,5,2019/01/02 05,59.05,39.37,0.0,-28.613
2019,2019-01-02 06:00:00,2019/01/02,01/02,6,2019/01/02 06,59.05,39.37,0.0,-28.613
2019,2019-01-02 06:15:00,2019/01/02,01/02,6,2019/01/02 06,63.05,42.03,0.0,-28.613
2019,2019-01-02 06:30:00,2019/01/02,01/02,6,2019/01/02 06,63.05,42.03,0.0,-28.613
2019,2019-01-02 06:45:00,2019/01/02,01/02,6,2019/01/02 06,63.05,42.03,0.0,-28.613
2019,2019-01-02 07:00:00,2019/01/02,01/02,7,2019/01/02 07,63.05,42.03,0.0,-28.613
2019,2019-01-02 07:15:00,2019/01/02,01/02,7,2019/01/02 07,65.99,43.99,0.0,-28.613
2019,2019-01-02 07:30:00,2019/01/02,01/02,7,2019/01/02 07,65.99,43.99,0.0,-28.613
2019,2019-01-02 07:45:00,2019/01/02,01/02,7,2019/01/02 07,65.99,43.99,0.0,-28.613
2019,2019-01-02 08:00:00,2019/01/02,01/02,8,2019/01/02 08,65.99,43.99,0.0,-28.613
2019,2019-01-02 08:15:00,2019/01/02,01/02,8,2019/01/02 08,72.05,48.03,0.0,12.4
2019,2019-01-02 08:30:00,2019/01/02,01/02,8,2019/01/02 08,72.05,48.03,0.0,12.4
2019,2019-01-02 08:45:00,2019/01/02,01/02,8,2019/01/02 08,72.05,48.03,0.0,12.4
2019,2019-01-02 09:00:00,2019/01/02,01/02,9,2019/01/02 09,72.05,48.03,0.0,12.4
2019,2019-01-02 09:15:00,2019/01/02,01/02,9,2019/01/02 09,77.8,51.86,0.0,12.4
2019,2019-01-02 09:30:00,2019/01/02,01/02,9,2019/01/02 09,77.8,51.86,0.0,12.4
2019,2019-01-02 09:45:00,2019/01/02,01/02,9,2019/01/02 09,77.8,51.86,0.0,19.727
2019,2019-01-02 10:00:00,2019/01/02,01/02,0,2019/01/02 10,77.8,51.86,0.0,19.727
2019,2019-01-02 10:15:00,2019/01/02,01/02,0,2019/01/02 10,77.76,51.84,0.0,26.167
2019,2019-01-02 10:30:00,2019/01/02,01/02,0,2019/01/02 10,77.76,51.84,0.0,26.167
2019,2019-01-02 10:45:00,2019/01/02,01/02,0,2019/01/02 10,77.76,51.84,0.0,26.167
2019,2019-01-02 11:00:00,2019/01/02,01/02,1,2019/01/02 11,77.76,51.84,0.0,0.0
2019,2019-01-02 11:15:00,2019/01/02,01/02,1,2019/01/02 11,77.15,51.43,0.0,0.0
2019,2019-01-02 11:30:00,2019/01/02,01/02,1,2019/01/02 11,77.15,51.43,0.0,0.0
2019,2019-01-02 11:45:00,2019/01/02,01/02,1,2019/01/02 11,77.15,51.43,0.0,0.0
2019,2019-01-02 12:00:00,2019/01/02,01/02,2,2019/01/02 12,77.15,51.43,0.0,0.0
2019,2019-01-02 12:15:00,2019/01/02,01/02,2,2019/01/02 12,76.13,50.75,0.0,0.0
2019,2019-01-02 12:30:00,2019/01/02,01/02,2,2019/01/02 12,76.13,50.75,0.0,0.0
2019,2019-01-02 12:45:00,2019/01/02,01/02,2,2019/01/02 12,76.13,50.75,0.0,0.0
2019,2019-01-02 13:00:00,2019/01/02,01/02,3,2019/01/02 13,76.13,50.75,0.0,0.0
2019,2019-01-02 13:15:00,2019/01/02,01/02,3,2019/01/02 13,72.29,48.19,0.0,0.0
2019,2019-01-02 13:30:00,2019/01/02,01/02,3,2019/01/02 13,72.29,48.19,85.0,0.0
2019,2019-01-02 13:45:00,2019/01/02,01/02,3,2019/01/02 13,72.29,48.19,85.0,0.0
2019,2019-01-02 14:00:00,2019/01/02,01/02,4,2019/01/02 14,72.29,48.19,85.0,0.0
2019,2019-01-02 14:15:00,2019/01/02,01/02,4,2019/01/02 14,71.28,47.52,85.0,0.0
2019,2019-01-02 14:30:00,2019/01/02,01/02,4,2019/01/02 14,71.28,47.52,85.0,0.0
2019,2019-01-02 14:45:00,2019/01/02,01/02,4,2019/01/02 14,71.28,47.52,85.0,0.0
2019,2019-01-02 15:00:00,2019/01/02,01/02,5,2019/01/02 15,71.28,47.52,85.0,0.0
2019,2019-01-02 15:15:00,2019/01/02,01/02,5,2019/01/02 15,74.41,49.61,85.0,0.0
2019,2019-01-02 15:30:00,2019/01/02,01/02,5,2019/01/02 15,74.41,49.61,85.0,0.0
2019,2019-01-02 15:45:00,2019/01/02,01/02,5,2019/01/02 15,74.41,49.61,85.0,0.0
2019,2019-01-02 16:00:00,2019/01/02,01/02,6,2019/01/02 16,74.41,49.61,85.0,0.0
2019,2019-01-02 16:15:00,2019/01/02,01/02,6,2019/01/02 16,76.31,50.87,0.0,0.0
2019,2019-01-02 16:30:00,2019/01/02,01/02,6,2019/01/02 16,76.31,50.87,0.0,0.0
2019,2019-01-02 16:45:00,2019/01/02,01/02,6,2019/01/02 16,76.31,50.87,0.0,0.0
2019,2019-01-02 17:00:00,2019/01/02,01/02,7,2019/01/02 17,76.31,50.87,0.0,0.0
2019,2019-01-02 17:15:00,2019/01/02,01/02,7,2019/01/02 17,82.4,54.94,0.0,0.0
2019,2019-01-02 17:30:00,2019/01/02,01/02,7,2019/01/02 17,82.4,54.94,0.0,0.0
2019,2019-01-02 17:45:00,2019/01/02,01/02,7,2019/01/02 17,82.4,54.94,0.0,0.0
2019,2019-01-02 18:00:00,2019/01/02,01/02,8,2019/01/02 18,82.4,54.94,85.0,0.0
2019,2019-01-02 18:15:00,2019/01/02,01/02,8,2019/01/02 18,84.14,56.1,85.0,0.0
2019,2019-01-02 18:30:00,2019/01/02,01/02,8,2019/01/02 18,84.14,56.1,86.696,0.0
2019,2019-01-02 18:45:00,2019/01/02,01/02,8,2019/01/02 18,84.14,56.1,86.696,0.0
