Year,Date,Day,DayOfYear,Hour,DayHour,APSCEP,ANSCEP,APTCEP,ANTCEP
2020,2020-01-01 00:15:00,2020/01/01,01/01,0,2020/01/01 00,42.5,28.34,51.407143,0.0
2020,2020-01-01 00:30:00,2020/01/01,01/01,0,2020/01/01 00,42.5,28.34,51.407143,0.0
2020,2020-01-01 00:45:00,2020/01/01,01/01,0,2020/01/01 00,42.5,28.34,51.407143,0.0
2020,2020-01-01 01:00:00,2020/01/01,01/01,1,2020/01/01 01,42.5,28.34,51.407143,0.0
2020,2020-01-01 01:15:00,2020/01/01,01/01,1,2020/01/01 01,40.85,27.23,51.407143,0.0
2020,2020-01-01 01:30:00,2020/01/01,01/01,1,2020/01/01 01,40.85,27.23,51.407143,0.0
2020,2020-01-01 01:45:00,2020/01/01,01/01,1,2020/01/01 01,40.85,27.23,51.407143,0.0
2020,2020-01-01 02:00:00,2020/01/01,01/01,2,2020/01/01 02,40.85,27.23,51.407143,0.0
2020,2020-01-01 02:15:00,2020/01/01,01/01,2,2020/01/01 02,37.82,25.22,52.446,0.0
2020,2020-01-01 02:30:00,2020/01/01,01/01,2,2020/01/01 02,37.82,25.22,52.446,0.0
2020,2020-01-01 02:45:00,2020/01/01,01/01,2,2020/01/01 02,37.82,25.22,52.446,0.0
2020,2020-01-01 03:00:00,2020/01/01,01/01,3,2020/01/01 03,37.82,25.22,52.446,0.0
2020,2020-01-01 03:15:00,2020/01/01,01/01,3,2020/01/01 03,36.77,22.63,52.446,0.0
2020,2020-01-01 03:30:00,2020/01/01,01/01,3,2020/01/01 03,36.77,22.63,52.446,0.0
2020,2020-01-01 03:45:00,2020/01/01,01/01,3,2020/01/01 03,36.77,22.63,52.446,0.0
2020,2020-01-01 04:00:00,2020/01/01,01/01,4,2020/01/01 04,36.77,22.63,52.446,0.0
2020,2020-01-01 04:15:00,2020/01/01,01/01,4,2020/01/01 04,36.77,21.54,43.757895,0.0
2020,2020-01-01 04:30:00,2020/01/01,01/01,4,2020/01/01 04,36.77,21.54,43.757895,0.0
2020,2020-01-01 04:45:00,2020/01/01,01/01,4,2020/01/01 04,36.77,21.54,43.757895,0.0
2020,2020-01-01 05:00:00,2020/01/01,01/01,5,2020/01/01 05,36.77,21.54,43.757895,0.0
2020,2020-01-01 05:15:00,2020/01/01,01/01,5,2020/01/01 05,36.77,21.57,43.757895,0.0
2020,2020-01-01 05:30:00,2020/01/01,01/01,5,2020/01/01 05,36.77,21.57,43.757895,0.0
